env,residual,step0_n2n_success_rate,step0_n2n_env_success_rate,step0_s2s_success_rate,step0_s2s_graph_success_rate,step0_s2s_env_success_rate,step0_n2n_avg_steps_success,step0_n2n_se_steps_success,step0_n2n_avg_steps_env_success,step0_n2n_se_steps_env_success,step0_s2s_avg_steps_success,step0_s2s_se_steps_success,step0_s2s_avg_steps_graph_success,step0_s2s_se_steps_graph_success,step0_s2s_avg_steps_env_success,step0_s2s_se_steps_env_success,step0_edges_added,step0_train_time_s,step500_n2n_success_rate,step500_n2n_env_success_rate,step500_s2s_success_rate,step500_s2s_graph_success_rate,step500_s2s_env_success_rate,step500_n2n_avg_steps_success,step500_n2n_se_steps_success,step500_n2n_avg_steps_env_success,step500_n2n_se_steps_env_success,step500_s2s_avg_steps_success,step500_s2s_se_steps_success,step500_s2s_avg_steps_graph_success,step500_s2s_se_steps_graph_success,step500_s2s_avg_steps_env_success,step500_s2s_se_steps_env_success,step500_edges_added,step500_train_time_s,step1000_n2n_success_rate,step1000_n2n_env_success_rate,step1000_s2s_success_rate,step1000_s2s_graph_success_rate,step1000_s2s_env_success_rate,step1000_n2n_avg_steps_success,step1000_n2n_se_steps_success,step1000_n2n_avg_steps_env_success,step1000_n2n_se_steps_env_success,step1000_s2s_avg_steps_success,step1000_s2s_se_steps_success,step1000_s2s_avg_steps_graph_success,step1000_s2s_se_steps_graph_success,step1000_s2s_avg_steps_env_success,step1000_s2s_se_steps_env_success,step1000_edges_added,step1000_train_time_s,step1500_n2n_success_rate,step1500_n2n_env_success_rate,step1500_s2s_success_rate,step1500_s2s_graph_success_rate,step1500_s2s_env_success_rate,step1500_n2n_avg_steps_success,step1500_n2n_se_steps_success,step1500_n2n_avg_steps_env_success,step1500_n2n_se_steps_env_success,step1500_s2s_avg_steps_success,step1500_s2s_se_steps_success,step1500_s2s_avg_steps_graph_success,step1500_s2s_se_steps_graph_success,step1500_s2s_avg_steps_env_success,step1500_s2s_se_steps_env_success,step1500_edges_added,step1500_train_time_s,step2000_n2n_success_rate,step2000_n2n_env_success_rate,step2000_s2s_success_rate,step2000_s2s_graph_success_rate,step2000_s2s_env_success_rate,step2000_n2n_avg_steps_success,step2000_n2n_se_steps_success,step2000_n2n_avg_steps_env_success,step2000_n2n_se_steps_env_success,step2000_s2s_avg_steps_success,step2000_s2s_se_steps_success,step2000_s2s_avg_steps_graph_success,step2000_s2s_se_steps_graph_success,step2000_s2s_avg_steps_env_success,step2000_s2s_se_steps_env_success,step2000_edges_added,step2000_train_time_s
can,False,0.1500,0.0000,0.0000,0.0000,0.0000,865.0,74.08,1000.0,0.00,1000.0,0.00,1000.0,0.00,1000.0,0.00,0,0.0,0.3000,0.0000,0.0000,0.0500,0.0000,725.7,96.77,1000.0,0.00,1000.0,0.00,991.2,8.75,1000.0,0.00,18,3675.2,0.5500,0.0000,0.0000,0.0500,0.0000,479.4,108.42,1000.0,0.00,1000.0,0.00,985.8,14.20,1000.0,0.00,27,6995.2,0.8000,0.0000,0.0000,0.5000,0.0000,260.9,85.53,1000.0,0.00,1000.0,0.00,818.5,43.15,1000.0,0.00,33,10078.7,0.8500,0.0000,0.0000,0.8500,0.0000,184.7,79.02,1000.0,0.00,1000.0,0.00,657.8,34.31,1000.0,0.00,40,13062.8
can,True,0.1000,0.0000,0.0000,0.0000,0.0000,903.0,66.77,1000.0,0.00,1000.0,0.00,1000.0,0.00,1000.0,0.00,0,0.0,0.4000,0.0000,0.0000,0.0000,0.0000,633.5,103.30,1000.0,0.00,1000.0,0.00,1000.0,0.00,1000.0,0.00,20,4137.6,0.5500,0.0000,0.0000,0.0000,0.0000,476.8,109.03,1000.0,0.00,1000.0,0.00,1000.0,0.00,1000.0,0.00,22,8061.0,0.5000,0.0000,0.0000,0.0000,0.0000,514.1,111.60,1000.0,0.00,1000.0,0.00,1000.0,0.00,1000.0,0.00,24,11843.3,0.4000,0.0000,0.0000,0.0000,0.0000,617.4,107.96,1000.0,0.00,1000.0,0.00,1000.0,0.00,1000.0,0.00,24,15660.7
lift,False,0.1500,0.0000,0.0000,0.3000,0.0000,852.8,80.42,1000.0,0.00,1000.0,0.00,859.0,50.03,1000.0,0.00,0,0.0,0.4000,0.0000,0.0000,0.4500,0.0000,614.0,108.84,1000.0,0.00,1000.0,0.00,781.0,55.76,1000.0,0.00,8,3410.3,0.3500,0.0000,0.0000,0.4000,0.0000,663.5,105.28,1000.0,0.00,1000.0,0.00,820.4,51.83,1000.0,0.00,13,6931.9,0.3500,0.0000,0.0000,0.3500,0.0000,668.0,104.10,1000.0,0.00,1000.0,0.00,855.6,46.55,1000.0,0.00,14,10527.9,0.3500,0.0000,0.0000,0.6000,0.0000,679.5,101.14,1000.0,0.00,1000.0,0.00,715.4,53.77,1000.0,0.00,14,13981.3
lift,True,0.1500,0.0000,0.0000,0.3500,0.0000,852.2,80.72,1000.0,0.00,1000.0,0.00,826.1,54.35,1000.0,0.00,0,0.0,0.3000,0.0000,0.0000,0.3500,0.0000,703.6,103.89,1000.0,0.00,1000.0,0.00,825.6,54.52,1000.0,0.00,2,3878.9,0.3000,0.0000,0.0000,0.3000,0.0000,715.9,99.83,1000.0,0.00,1000.0,0.00,860.6,49.44,1000.0,0.00,7,7703.4,0.4500,0.0000,0.0000,0.3000,0.0000,571.7,108.87,1000.0,0.00,1000.0,0.00,871.5,45.93,1000.0,0.00,10,11098.1,0.5000,0.0000,0.0000,0.5000,0.0000,522.1,109.91,1000.0,0.00,1000.0,0.00,769.6,53.28,1000.0,0.00,12,14419.8
square,False,0.9500,0.0000,0.0000,0.8500,0.0000,113.3,48.78,1000.0,0.00,1000.0,0.00,606.6,38.20,1000.0,0.00,0,0.0,0.7500,0.0000,0.0000,1.0000,0.0000,357.6,89.69,1000.0,0.00,1000.0,0.00,556.7,15.10,1000.0,0.00,1,5978.9,0.9000,0.0000,0.0000,0.9500,0.0000,189.2,64.77,1000.0,0.00,1000.0,0.00,577.2,26.44,1000.0,0.00,3,12006.0,0.8500,0.0000,0.0000,0.9500,0.0000,203.3,78.01,1000.0,0.00,1000.0,0.00,572.7,25.56,1000.0,0.00,14,17022.3,0.9000,0.0000,0.0000,0.8500,0.0000,133.8,66.64,1000.0,0.00,1000.0,0.00,616.6,38.42,1000.0,0.00,24,22457.5
square,True,0.7000,0.0000,0.0000,1.0000,0.0000,360.6,96.69,1000.0,0.00,1000.0,0.00,548.5,7.91,1000.0,0.00,0,0.0,0.9000,0.0000,0.0000,0.9500,0.0000,214.7,68.40,1000.0,0.00,1000.0,0.00,585.1,25.52,1000.0,0.00,14,6243.6,0.9000,0.0000,0.0000,1.0000,0.0000,136.8,66.35,1000.0,0.00,1000.0,0.00,542.3,6.42,1000.0,0.00,22,12230.1,0.9500,0.0000,0.0000,0.9000,0.0000,112.6,49.19,1000.0,0.00,1000.0,0.00,589.9,32.39,1000.0,0.00,23,18110.4,0.9000,0.0000,0.0000,0.9000,0.0000,123.0,67.40,1000.0,0.00,1000.0,0.00,598.2,31.75,1000.0,0.00,25,24296.8
tool_hang,False,0.9500,0.0000,0.0000,0.2000,0.0000,108.4,48.38,1000.0,0.00,1000.0,0.00,949.0,27.59,1000.0,0.00,0,0.0,0.9500,0.0000,0.0000,0.3000,0.0000,160.6,54.23,1000.0,0.00,1000.0,0.00,903.5,34.58,1000.0,0.00,13,7466.7,1.0000,0.0000,0.0000,0.2500,0.0000,58.5,7.91,1000.0,0.00,1000.0,0.00,909.2,36.41,1000.0,0.00,29,15047.8,1.0000,0.0000,0.0000,1.0000,0.0000,91.9,15.82,1000.0,0.00,1000.0,0.00,675.7,9.22,1000.0,0.00,35,23289.4,1.0000,0.0000,0.0000,0.9500,0.0000,82.8,14.18,1000.0,0.00,1000.0,0.00,701.0,23.02,1000.0,0.00,39,32134.2
tool_hang,True,0.9500,0.0000,0.0000,0.2000,0.0000,161.5,49.14,1000.0,0.00,1000.0,0.00,957.8,23.38,1000.0,0.00,0,0.0,0.9500,0.0000,0.0000,0.9500,0.0000,122.0,49.77,1000.0,0.00,1000.0,0.00,686.1,22.95,1000.0,0.00,9,7267.5,1.0000,0.0000,0.0000,1.0000,0.0000,75.6,17.15,1000.0,0.00,1000.0,0.00,651.3,20.47,1000.0,0.00,55,12914.3,1.0000,0.0000,0.0000,1.0000,0.0000,59.2,9.03,1000.0,0.00,1000.0,0.00,637.8,13.57,1000.0,0.00,67,19588.2,0.9500,0.0000,0.0000,1.0000,0.0000,121.9,49.99,1000.0,0.00,1000.0,0.00,605.0,4.67,1000.0,0.00,73,26847.7
transport,False,0.4500,0.0000,0.0000,0.0000,0.0000,580.8,106.77,1000.0,0.00,1000.0,0.00,1000.0,0.00,1000.0,0.00,0,0.0,0.5000,0.0000,0.0000,0.0000,0.0000,552.1,105.96,1000.0,0.00,1000.0,0.00,1000.0,0.00,1000.0,0.00,1,27711.6,0.3000,0.0000,0.0000,0.0000,0.0000,723.0,97.61,1000.0,0.00,1000.0,0.00,1000.0,0.00,1000.0,0.00,4,55933.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transport,True,0.2000,0.0000,0.0000,0.0000,0.0000,801.5,91.10,1000.0,0.00,1000.0,0.00,1000.0,0.00,1000.0,0.00,0,0.0,0.4000,0.0000,0.0000,0.0000,0.0000,610.8,109.38,1000.0,0.00,1000.0,0.00,1000.0,0.00,1000.0,0.00,3,28111.6,0.4500,0.0000,0.0000,0.0000,0.0000,592.3,104.74,1000.0,0.00,1000.0,0.00,1000.0,0.00,1000.0,0.00,8,56675.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
